Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,Texas,Pine Ranch,Once,Member,2025,,Chet Williams,,,,,,New,Drawing boards ,,,2023-08-15,32.4924964,-95.5472345,https://wacotrib.com/waco_today_magazine/texas-top-golf-architect-calls-central-texas-home/article_b369d892-bc6c-11ed-aa89-9bdfef56bb1a.html,Sydov9eUr5U,,,,,Hit It Where They Mow,,
N America,USA,Texas,Red Feather,Once,Member,2023,,Tad King Rob Collins,,,Burger,,,New,Open,,,2023-10-01,33.591351,-102.028532,https://fescue.github.io/Red-Feather/,SvXju4XuYrg,donhabenicht,donhabenicht,,,#777bentgrass,redfeathergc/status/1666468681633628165,Innovation Zoysia
N America,USA,Texas,Travis Club,Once,Member,2026,,Beau Welling,,,,,,New,Drawing boards ,,,2023-07-20,30.3882024,-98.0534346,https://fescue.github.io/Travis-Club/,,,,,,,,
N America,USA,Utah,Black Desert,Holiday,Public,2023,19,Weiskopf Smith,,,Heritage Links,,,New,Open,,,2023-05-17,37.217815,-113.64179,https://www.blackdesertresort.com/,_nRUxwQ_Ieg,brianjennings,brianjennings,,Aquafuse,LPGA 2024 Host,Club_and_Resort/status/1650922631158177811,Irrigation
N America,USA,Utah,Marcella Club,Once,Member,2025,,Tiger Woods,,,Brian Jennings,,,New,Construction,,,2023-10-13,40.617394,-111.446108,https://marcellaclub.com/golf,yZVUiazgXn0,marcellaclub,marcellaclub,,,Construction Progress,tigerwoods/status/1623003666444693513,Jordanelle Ridge
N America,USA,Utah,Three Bridges,Holiday,Public,2026,,RTJ II,,,,,,New,Drawing boards ,,,2023-12-09,40.016042,-111.632134,https://fescue.github.io/Three-Bridges-Golf-Utah/,,,,,,,,
N America,USA,Utah,Wasatch Ranch,Once,Member,2024,,Tom Fazio,,,Integrity Golf,,,New,Construction,,,2023-01-05,41.2948789,-111.539427,https://wasatchpeaksranch.com,,,,,,,,
N America,USA,Utah,Wohali Eagle GC,Holiday,Public,2024,27,David Boyden,,,,ETA May 2024,,New,Construction,,,2023-12-13,40.912921,-111.409968,https://wohaliutah.com,WHHuzLGdxRg,,,,,Trackman,MtnT1Bent/status/1546285963554353153,Bunte
N America,USA,Washington,Gamble Sands II,Holiday,Public,2025,,David Kidd Nick Schaan,,,,ETA April 2025,,New,Construction,,,2022-08-27,48.0760243,-119.65658,https://golfweek.usatoday.com/2022/07/02/gamble-sands-new-second-course-david-mclay-kidd,,,,,,,GOLF_com/status/1695379309093872003,Golf Magazine
N America,USA,Washington,Westport Golf Links,Holiday,Public,2028,,David Kidd,,,,,,New,Drawing boards ,,,2023-06-10,46.8901706,-124.129763,https://fescue.github.io/Westport-Golf-Links/,VL81SNpwX3s,,,,Interdunal wetland,395 acres,,
