Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Archive1,Archive2
Asia,Cambodia,Phnom Penh,Thansur Bokor Highland Resort,2008,Arnold Palmer,New,Never started,,2023-12-01,10.6277882,103.6953103,https://bokor-mountain-cambodia.com/bokor-mountain-in-kampot-cambodia/bokor-mountain-hotels/thansur-bokor-highland-resort/,,,,,,,,
Asia,Cambodia,Kampot,Golf Harmony,2024,,New,Drawing Boards,,2023-12-01,10.7153362,104.299734,https://www.khmertimeskh.com/50776862/golf-harmony-project-officially-launched,SmghJbTV4WE,,Design Plan,,,,,
Asia,Cambodia,Siem Reap,Bellus Angkor Resort ,2010,David McLay Kidd,New,Never started,,2023-12-01,13.417763,103.600123,https://www.phnompenhpost.com/siem-reap-insider/resort-tees-course-designer,,,,,,,,
Asia,Cambodia,Sihanoukville,O’Chhuteal Beach Resort,2004,,New,Stopped,,2023-12-01,10.6049791,103.504164,https://www.sokimex.com.kh/future_projects/index_future_projects.php?page=ochhuteal-beach,,,,,,,,
Asia,China,Hainan,Simapo Island,2014,Tom Doak Eric Iverson Brett Hochstein,New,Stopped,,2023-08-27,20.0070538,110.3816898,https://www.hochsteindesign.com/simapo,,,,,,,,
Asia,Indonesia,East Nusa Tenggara,Labuan Bajo,2022,,New,SEZ,,2023-12-01,-8.428251,119.8710281,https://en.antaranews.com/news/290301/ministry-invites-investment-in-tourism-sector,,,,,,,,
Asia,Indonesia,Lombok,Mandalika,2020,,New,SEZ,,2023-12-01,-8.508528,116.05887,https://www.zed.co.id/projects/golf-mandalika,0kU5neMaTZ4,$65M, Special Economic Zone,,,,,
Asia,Indonesia,Kalimantan,Nusantara,2030,,New,Drawing boards ,,2024-01-16,-1.2475139,111.6636973,https://www.ikn.go.id/en,,,,,,,,
Asia,Isreael,Eilat,Land Authority,2028,TBA,New,Drawing boards ,,2022-09-22,29.6275577,34.8838551,https://www.timesofisrael.com/eilat-takes-a-swing-with-planned-desert-golf-course-as-israel-tourism-expands,,,,,,,https://www.instagram.com/p/CGtfvymFu0A/,
Asia,Malaysia,Sabah,Kuala Penyu Golf & Country Club,2030,TBA,New,Drawing boards ,,2023-12-10,5.985229,116.073898,https://www.dailyexpress.com.my/news/220315/ministry-all-for-first-golf-course-in-kuala-penyu/,,,,,,,,
Asia,Pakistan,Gujrat,Sarai Alamgir,2024,TBA,New,Drawing boards ,,2022-09-25,32.86334,73.253146,https://www.facebook.com/golfresidencia/,cLJ01QDfW7I,New Kharian,,,,,,
Asia,Philippines,Bohol,Panglao Resort,2025,DSME,New,Drawing boards ,,2021-03-01,9.589946,123.742079,https://fescue.github.io/Bohol-Golf/,,,,,,,,
Asia,Philippines,Cebu,Dolphin Island,2028,TBA,New,Drawing boards ,,2021-01-25,10.156616,123.636965,https://fescue.github.io/Dolphin-Island-Golf/,vViQqGNW480,,Vision,,,,,
Asia,Philippines,Davao City,Carmen,2026,TBA,New,Drawing boards ,,2023-09-01,7.0936837,125.2401946,https://www.boholchronicle.com.ph/2023/01/30/golf-course-eyed-in-carmen/,,,,,,,,
Asia,Philippines,Manila,New Manila Bay,2026,TBA,New,Drawing boards ,,2021-01-25,14.529766,120.456602,https://fescue.github.io/New-Manila-Bay/,YgUCRPDk1hQ,,Pearl,,,,,
Asia,Russia,Moscow,Shishkino CC,2024,Agustin Piza,New,Drawing boards ,,2021-10-29,55.4547184,37.2881413,https://www.instagram.com/p/CVgR4yjtJak/?utm_source=ig_web_button_share_sheet,,,,,,,https://ernieels.com/design/the-courses/europe/matalda-mali-losinj-croatia/,
Asia,Russia,Tatarstan,AK Bars,2022,Harradine,New,TBD,,2022-10-19,55.795422,48.932879,https://www.golfcoursearchitecture.net/content/new-harradine-course-in-russia-has-soft-opening,LlFJhWCvmeo,,Engo,,,,,
Asia,Russia,Vladivostok,Vladivostok GC,2024,Rasinkangas Fream,New,Construction,,2021-09-23,43.123739,131.869227,https://vlgolf.ru/en/,,,,,,,,
Asia,Sri Lanka,Muthurajawela,Panditharatna,2011,TBA,New,Drawing boards ,,2023-12-27,7.110614,79.8577921,https://www.sundaytimes.lk/210110/news/outrage-over-plan-to-plant-a-golf-resort-in-treasured-muthurajawela-427763.html,,,,,,,,
Asia,Thailand,Bangkok,Ruayrungruang,2025,Tiger Woods,New,Drawing boards ,,2020-11-14,13.718124,100.479144,https://www.telegraph.co.uk/news/2020/03/09/wentworths-controversial-owners-line-tiger-woods-design-new/,,,,,,,,
Asia,Ukraine,Kiev,Equides GC,2023,Jonathan Davison,New,Started,,2023-02-04,50.315125,30.220784,https://equides.com.ua/akademija-golfa/,,,,CreateGolf/status/1439945874449260552,Progress,,,
AU/NZ,Australia,NSW,Kameruka,2027,Harley Kruse,Restore,Drawing boards ,Abandoned,2023-04-24,-36.716482,149.663632,https://kamerukagolf.com/,,,,,,,,
AU/NZ,Australia,Tasmania,Musselroe Bay,2030,Oglivy Cocking Mead,,Drawing boards ,,2022-12-20,-40.826529,147.022304,https://fescue.github.io/Musselroe-Bay-Golf-Course/,,,,harriskalinka/status/1245754990129446912,Harris Kalinka,,,
Europe,Croatia,Cres,Matalda,2028,Ernie Els,New,Drawing boards ,,2023-04-30,44.888795,14.127983,https://fescue.github.io/Croatia-Cres-Matalda-Golf-Resort/,,,,,,,,
Europe,Croatia,Dubrovnik,Razvoj Golf Resort,2023,TBD,New,Permits,,2023-07-21,42.6457869,18.0734048,http://www.golfparkdubrovnik.hr/en/view/about-us/9,,,,,,,,
Europe,Cyprus,Cyprus,Limassol Hills,2026,Jonathan Gaunt,New,Drawing boards ,,2020-12-21,34.7994243,33.2058768,https://fescue.github.io/Limassol-Hills-Golf-Resort/,wXcCZkDP2h4,,Flyover,,,,,
Europe,Cyprus,Pissouri,Eagle Pine Resort,2026,Graham Marsh,New,Drawing boards ,,2021-12-31,34.678078,32.73665,https://eaglepineresort.com/,,,,,,,https://www.harradine-golf.com/z-tn-tunis.html,
Europe,France,Occitanie,Domaine Lavagnac,2023,Jack Nicklaus,New,Drought,,2023-05-13,43.4616146,3.3828538,https://fescue.github.io/Domaine-Lavagnac-Golf/,,,,,,,https://paradise-isle.com/,
Europe,France,Fontiers Cabardès,Montagne Noir,2010,NCM,,Drawing boards ,,2024-02-01,43.372017,2.253012,https://www.golf-land-design.com/golf-de-la-montagne-noir/,,,,,,,,
Europe,France,Paris,Val-Grand,2021,Nick Faldo,Renovate,Drawing boards ,Gayon,2022-01-02,48.3940919,2.779782,https://golf-de-val-grand.com/index.php/le-golf/parcours,,,,technology_golf/status/1476859110012428312,Paris Golf,,,
Europe,Greece,Fokida,Delphi Golf Resort,2028,TBA,New,Drawing boards ,,2021-01-12,38.543087,21.961074,https://news.gtp.gr/2021/01/07/new-golf-tourism-project-for-greece-announced/,,,,,,,,
Europe,Portugal,Portugal,Monte Rei South,2022,Jack Nicklaus,New,Drawing boards,,2021-12-31,37.20855,-7.55137,https://fescue.github.io/Monte-Rei-South/,yKH7YDlR9PM,,Rei,,,,,
Europe,Serbia,Belgrade,TBA,2026,TBA,New,Drawing boards,,2023-01-24,44.8151285,20.1351862,https://www.linkedin.com/posts/howard-kuo-aia-a0054_belgrade-golf-clubhouse-activity-7022764045019611136-2OzW?utm_source=share&utm_medium=member_desktop,,,,,,,,
